#,Al2O3_mol,B2O3_mol,CaO_mol,Na2O_mol,SiO2_mol,ZrO2_mol,V2O5_mol,Li2O_mol,SUM,pH (90 °C),Measurement,r0,ln r0,Al-Al,Al-B,Al-Si,Al-Zr,B-B,B-Si,B-Zr,Si-Si,Si-Zr,Zr-Zr,Al-V4,Al-V5,B3-V4,B3-V5,Si-V4,Si-V5,Zr-V4,Zr-V5,V4-V4,V4-V5,V5-V5,sum_poly,Al-V,B-V,Si-V,Zr-V,V-V,Former-V,Former-Zr,B-B + B-Si,"NBO, %",System Size (# atoms),a (Å),Vol (A3),sum_poly
39,0.119829527,0.172138036,0.061774858,0.13642516,0.491283342,0.018549077,,,1,10.21,SRCA,32.49373,3.481047148,0.054436884,0.138036384,0.24399389,0.007915567,0.070545758,0.242327455,0.016525483,0.1987224,0.026662963,0.000833218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.051937231,0.312873212,4.766666667,12001,53.77684784,155519.9209,#REF!
40,0.215092562,0.186778829,0.067062687,0.148033303,0.362904176,0.020128441,,,1,10.21,SRCA,151.42354,5.020080811,0.15753152,0.231585932,0.277239549,0.021101526,0.04777704,0.136297279,0.017650962,0.091705375,0.018447246,0.00066357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.057863305,0.18407432,4.058,11999,53.69790268,154836.0096,#REF!
41,0.038399235,0.159624915,0.057336105,0.126476601,0.600938837,0.017224306,,,1,10.21,SRCA,13.86434,2.629320076,0.00610362,0.045422285,0.106458481,0.004542229,0.085734564,0.355287438,0.015471966,0.347054649,0.033356991,0.000567779,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.053938964,0.441022001,5.429666667,12000,53.55714798,153621.6148,#REF!
42,0.111106694,0.159621888,0.057301776,0.199219485,0.455551571,0.017198585,,,1,10.21,SRCA,45.27738,3.81280757,0.04950495,0.137840347,0.250928218,0.00990099,0.073483911,0.238397277,0.016862624,0.193688119,0.029084158,0.000309406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.056157178,0.311881188,9.595333333,12000,53.41860962,152432.5588,#REF!
43,0.183834873,0.159613342,0.057318362,0.271917673,0.310109791,0.017205959,,,1,10.21,SRCA,328.56013,5.794719865,0.146980314,0.23690357,0.291458125,0.017350684,0.049716383,0.132632633,0.01951952,0.08291625,0.022188856,0.000333667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.059392726,0.182349016,13.17666667,12002,53.46897888,152864.1588,#REF!
44,0.23,0.15963,0.05734,0.31808,0.21774,0.01722,,,1.00001,10.21,SRCA,800.97303,6.685827276,0.23989726,0.290924658,0.252739726,0.023287671,0.041780822,0.082020548,0.017294521,0.035787671,0.015924658,0.000342466,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.056849315,0.12380137,13.92766667,11994,53.61697218,154136.9835,#REF!
45,0.0384,0.1596,0.0573,0.1265,0.602,0.0162,0,,1,10,ICP Si,17.388,2.855780313,0.006143306,0.046258812,0.104209722,0.003595391,0.081476658,0.366701583,0.014381564,0.343600487,0.033236135,0.000396342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.051609433,0.448178241,5.280666667,19999,63.116375,251435.2384,#REF!
46,0.0382,0.1589,0.057,0.1258,0.599,0.0161,0.005,,1,10,ICP Si,19.987,2.995082062,0.005654235,0.03129819,0.105031698,0.003969387,0.0844994,0.360557428,0.013878577,0.34019647,0.032012108,0.000571135,0.000428351,0.001599178,0.001542064,0.005254441,0.00237021,0.010366097,8.56702E-05,0.000485465,0,0.000114227,8.56702E-05,1,0.002027529,0.006796505,0.012736307,0.000571135,0.000199897,0.022331372,0.051002342,0.445056828,5.235333333,19995,63.135372,251662.3404,#REF!
47,0.0381,0.1581,0.0567,0.1252,0.596,0.016,0.0099,,1,10,ICP Si,21.672,3.076021105,0.006149958,0.045773659,0.099269868,0.00336984,0.08118506,0.345914069,0.013984836,0.329514181,0.031058691,0.000673968,0.00056164,0.002836282,0.002443134,0.010334176,0.006543106,0.018983432,0.000196574,0.000673968,2.8082E-05,0.000196574,0.000308902,1,0.003397922,0.01277731,0.025526537,0.000870542,0.000533558,0.043105869,0.049957877,0.427099129,5.08,19992,63.387017,254683.5782,#REF!
48,0.0377,0.1565,0.0562,0.124,0.5902,0.0158,0.0196,,1,10,ICP Si,32.256,3.473704072,0.004917987,0.04415011,0.095313941,0.003157571,0.074580155,0.339732305,0.014139213,0.31145388,0.028278425,0.00036326,0.001536871,0.005979825,0.005532735,0.019252801,0.011428731,0.036493699,0.000502976,0.001425098,0.000111772,0.000670635,0.000978009,1,0.007516696,0.024785537,0.04792243,0.001928074,0.001760416,0.083913153,0.047866544,0.41431246,4.957333333,19990,63.332452,254026.4318,#REF!
